ProjectID,CompanyID,ProjectName,Region,Status,StartDate,EndDate,PlannedDuration,PlannedCost,ActualCost,Revenue,SquareMeters
50,2,Grow Rich Architectures,Tashkent,Ongoing,2024-09-25,,187,126159.83,117488.07,,4245
51,2,Transition Transparent Functionalities,Bukhara,Planned,,,84,129139.58,,,1887
52,2,Deploy Scalable Architectures,Surkhandarya,Completed,2022-01-15,2022-12-18,377,108878.19,173704.84,41379.96,7234
53,1,Strategize Revolutionary Partnerships,Ashgabat,Completed,2020-10-25,2021-02-03,89,89472.11,148667.01,7219.5,2124
54,3,Redefine Sticky Solutions,Karakalpakstan,Ongoing,2024-07-18,,56,46961.22,34044.62,,1455
55,4,Deliver 24/7 Applications,Qashqadaryo,Completed,2022-10-21,2023-02-06,104,100788.8,146037.84,151750.39,2191
56,1,Orchestrate Customized Info-Mediaries,Bukhara,Completed,2022-12-08,2023-01-30,57,111757.6,125273.63,117866.19,1500
57,1,Matrix Impactful Vortals,Tashkent,Ongoing,2024-10-18,,124,118749.12,188010.54,,3227
58,8,Incubate Granular Communities,Ashgabat,Completed,2023-05-11,2023-06-30,42,110979.36,118464.99,213201.33,760
59,3,Embrace Visionary E-Tailers,Ashgabat,Completed,2021-09-04,2021-10-26,59,126875.4,121881.72,111361.0,1928
60,1,Productize Killer Networks,Jizzakh,Completed,2021-04-30,2021-12-24,229,129389.76,198712.27,401177.97,5403
61,1,Evolve Innovative Roi,Navoi,Planned,,,187,114855.59,,,4632
62,7,Aggregate Extensible Markets,Namangan,Completed,2022-06-06,2022-09-11,110,51057.71,37467.63,124629.36,1813
63,3,Enable Cross-Media Web-Readiness,Nukus,Completed,2023-08-17,2023-11-26,112,153431.01,148543.41,741134.37,2588
64,6,Redefine Ubiquitous Communities,Nukus,Ongoing,2025-03-08,,145,89418.0,112979.08,,3025
65,4,Benchmark Leading-Edge Users,Karakalpakstan,Ongoing,2024-12-19,,176,92676.55,78352.91,,3740
66,7,Utilize Wireless Architectures,Samarkand,Ongoing,2023-10-16,,574,139177.1,104499.02,,12896
67,5,Syndicate Wireless Web-Readiness,Surkhandarya,Completed,2022-10-20,2023-03-24,137,117548.34,131976.38,95335.68,4614
68,7,Implement Revolutionary Content,Qashqadaryo,Ongoing,2024-09-26,,263,92166.17,106289.06,,5899
69,7,Orchestrate Web-Enabled Eyeballs,Ashgabat,Completed,2022-03-26,2022-07-16,100,83810.86,97316.71,81828.71,2009
70,5,Utilize 24/365 Networks,Samarkand,Completed,2024-09-18,2025-02-11,127,137182.02,131253.76,107201.35,3507
71,2,Optimize Next-Generation Models,Sirdarya,Completed,2020-09-30,2021-03-13,149,46156.69,72512.61,67689.25,2567
72,4,Deploy World-Class Web Services,Navoi,Completed,2020-07-12,2020-08-16,41,76965.9,83549.67,153516.67,1478
73,6,Re-Intermediate Web-Enabled Deliverables,Qashqadaryo,Planned,,,83,112808.29,,,1671
74,7,Brand Cross-Media Portals,Qashqadaryo,Completed,2022-11-09,2023-03-20,113,86383.91,106883.07,157666.91,3172
75,7,Cultivate Integrated Solutions,Andijan,Completed,2022-07-28,2022-10-29,105,112152.74,125196.68,617630.84,3007
76,7,Harness Holistic Channels,Qashqadaryo,Completed,2020-10-26,2021-06-26,234,138998.33,228628.11,4787780.27,5834
77,3,Brand Out-Of-The-Box E-Markets,Bukhara,Completed,2020-07-28,2020-09-26,65,91845.28,63693.1,69192.05,1693
78,6,Disintermediate Granular Users,Bukhara,Ongoing,2023-08-08,,193,48559.45,55387.84,,3312
79,5,Reinvent Plug-And-Play Initiatives,Surkhandarya,Ongoing,2025-04-10,,73,112781.85,81196.36,,1589
80,2,Revolutionize User-Centric Users,Almaty,Completed,2024-06-21,2025-08-29,502,94396.02,95843.45,30134.72,10743
81,8,Architect Best-Of-Breed E-Commerce,Sirdarya,Completed,2020-08-18,2021-09-11,424,105492.26,124862.42,37474.2,7690
82,1,Integrate 24/7 Models,Fergana,Ongoing,2024-01-18,,72,104957.76,118139.1,,1959
83,8,Revolutionize Cross-Platform Info-Mediaries,Samarkand,Completed,2022-09-04,2023-01-30,131,98134.72,94698.08,256442.94,2992
84,2,Incubate Killer Info-Mediaries,Almaty,Planned,,,73,92307.14,,,1412
85,6,Harness Magnetic Applications,Almaty,Completed,2020-08-23,2021-05-21,262,65746.74,78875.98,50007.46,4906
86,7,Syndicate Integrated Schemas,Ashgabat,Ongoing,2024-03-16,,367,100307.92,157000.65,,8829
87,4,Repurpose Ubiquitous Markets,Karakalpakstan,Completed,2022-02-23,2023-10-29,533,68285.71,69601.69,182096.88,10186
88,2,Incentivize Impactful Methodologies,Jizzakh,Completed,2023-12-27,2024-12-17,333,83801.06,83575.42,324092.09,7770
89,3,Disintermediate Best-Of-Breed Experiences,Surkhandarya,Completed,2022-06-09,2022-07-24,39,126915.4,134387.75,731898.67,870
90,6,Deliver Interactive Content,Ashgabat,Completed,2024-08-19,2024-12-20,134,130508.32,156506.9,42030.38,3140
91,1,Synthesize Back-End Eyeballs,Sirdarya,Completed,2024-01-01,2024-05-19,122,96474.06,117788.63,44489.43,2867
92,5,Facilitate Value-Added Paradigms,Sirdarya,Planned,,,161,66310.78,,,4764
93,7,Matrix Transparent Web Services,Ashgabat,Planned,,,190,175674.04,,,4194
94,4,Benchmark Revolutionary E-Tailers,Karakalpakstan,Completed,2022-10-15,2023-01-05,78,73463.96,68489.89,99530.85,2384
95,7,Orchestrate Next-Generation Vortals,Andijan,Completed,2024-09-12,2024-11-03,54,98464.64,40878.51,78252.79,1444
96,1,Mesh Plug-And-Play Communities,Sirdarya,Planned,,,156,125625.87,,,3463
97,2,Embrace Collaborative Roi,Nukus,Ongoing,2024-10-18,,67,80629.9,59906.93,,1931
98,4,Implement Revolutionary Supply-Chains,Almaty,Completed,2021-05-24,2021-07-06,50,145696.55,185466.91,287623.17,1032
99,7,Scale Granular Paradigms,Karakalpakstan,Ongoing,2024-03-31,,949,135820.99,88064.76,,25725
100,5,Seize Web-Enabled Bandwidth,Bukhara,Ongoing,2023-08-27,,118,90971.22,94432.88,,3437
101,1,Re-Intermediate Out-Of-The-Box Platforms,Navoi,Ongoing,2023-11-10,,66,66788.42,98298.22,,1896
102,4,Benchmark Rich Technologies,Khorezm,Completed,2023-02-17,2024-02-14,306,71960.29,79085.17,1089827.98,5526
103,2,Seize Cross-Platform Architectures,Khorezm,Completed,2023-09-12,2024-02-06,158,85096.14,76542.23,292171.65,4347
104,2,Empower Transparent Functionalities,Andijan,Completed,2020-10-26,2022-01-17,458,97530.17,111009.78,81010.88,11346
105,7,Productize Compelling Communities,Sirdarya,Completed,2024-05-01,2024-06-24,64,73125.69,68478.5,113960.19,2120
106,4,Matrix Magnetic E-Markets,Fergana,Completed,2025-01-23,2025-03-25,58,109314.87,117461.82,97041.45,1666
107,1,Disintermediate E-Business E-Services,Navoi,Completed,2020-07-25,2021-01-22,167,114040.66,132543.88,37867.39,5058
108,2,Revolutionize 24/365 Partnerships,Dushanbe,Ongoing,2024-07-27,,210,80154.86,64082.87,,4361
109,7,Reinvent Cross-Platform Vortals,Navoi,Completed,2021-07-27,2021-08-26,31,98169.41,126793.42,32829.47,954
110,3,Exploit Seamless Deliverables,Nukus,Ongoing,2023-07-24,,118,63691.61,53175.91,,2846
111,8,Whiteboard Viral Web Services,Almaty,Completed,2022-05-13,2022-08-14,87,79132.6,105094.05,190175.76,2277
112,5,Enhance Killer E-Commerce,Qashqadaryo,Ongoing,2023-08-30,,355,51412.6,40710.69,,8177
113,2,Drive Cutting-Edge Eyeballs,Karakalpakstan,Ongoing,2024-09-05,,178,79077.75,84743.47,,3865
114,7,Transform Scalable Functionalities,Qashqadaryo,Completed,2023-03-14,2023-06-26,103,92988.03,105459.48,89445.11,2673
115,3,Exploit End-To-End Mindshare,Bishkek,Ongoing,2024-11-08,,96,114567.95,149938.54,,2202
116,6,Maximize B2B Deliverables,Karakalpakstan,Ongoing,2023-11-07,,251,86880.36,46956.13,,5485
117,5,Innovate Frictionless Solutions,Ashgabat,Ongoing,2025-03-12,,53,133186.71,111758.8,,1472
118,2,Seize Virtual Portals,Surkhandarya,Planned,,,188,90013.32,,,3748
119,8,Incentivize Open-Source Communities,Almaty,Completed,2020-06-12,2020-10-13,111,122669.18,80523.01,512279.19,3515
120,5,Aggregate Scalable Initiatives,Navoi,Completed,2023-05-10,2023-09-29,154,84321.19,97353.86,157280.64,3778
121,6,Re-Contextualize Bleeding-Edge Architectures,Navoi,Completed,2023-02-06,2023-04-27,81,72578.27,81394.34,70440.89,2161
122,4,Harness Transparent Deliverables,Qashqadaryo,Completed,2021-09-26,2022-02-15,152,107416.17,109461.11,66408.39,4168
123,4,Innovate One-To-One Mindshare,Bishkek,Completed,2022-11-10,2023-02-24,95,108878.33,148170.54,550212.79,2184
124,2,Scale Compelling Portals,Khorezm,Completed,2023-03-21,2023-09-20,164,167547.33,94896.11,960741.86,3981
125,3,Mesh Dot-Com Roi,Karakalpakstan,Completed,2022-02-09,2022-07-31,181,94948.75,174109.95,159116.45,4713
126,8,Exploit User-Centric Vortals,Fergana,Completed,2022-02-27,2022-08-23,186,121033.0,104434.25,275995.55,3218
127,3,Visualize Dot-Com Mindshare,Samarkand,Completed,2024-05-01,2025-06-10,400,144821.44,116308.79,192923.42,11130
128,2,Utilize Virtual Markets,Bukhara,Ongoing,2023-10-02,,154,134833.37,136248.85,,3100
129,3,Target B2B Convergence,Jizzakh,Completed,2022-04-13,2022-08-13,114,125658.91,50738.4,58709.78,2211
130,4,Brand Holistic Applications,Dushanbe,Completed,2023-07-16,2023-09-26,69,57067.21,58310.1,68242.05,1204
131,5,Maximize Open-Source Functionalities,Nukus,Planned,,,111,123896.78,,,2463
132,4,Brand Granular Systems,Khorezm,Completed,2022-04-13,2022-08-28,129,68364.44,85797.43,80066.14,2670
133,3,Extend Cross-Media E-Commerce,Tashkent,Completed,2020-10-19,2020-12-05,51,96688.4,110947.7,146061.8,1374
134,8,Drive Interactive Functionalities,Jizzakh,Ongoing,2024-10-26,,111,93139.8,101406.81,,2931
135,2,Target Plug-And-Play Models,Surkhandarya,Completed,2024-07-13,2024-12-10,159,80736.16,82634.01,466277.17,2913
136,4,Cultivate Innovative Portals,Nukus,Ongoing,2024-02-05,,16,134729.19,129923.14,,466
137,3,Iterate Wireless Models,Bukhara,Completed,2024-01-13,2024-05-16,138,92081.25,115868.55,50559.61,2298
138,5,Implement Visionary Eyeballs,Almaty,Ongoing,2024-11-12,,401,112554.48,96440.42,,10164
139,7,Repurpose Killer Bandwidth,Karakalpakstan,Ongoing,2024-01-08,,188,65640.76,60315.32,,4940
140,6,Evolve B2B E-Commerce,Karakalpakstan,Completed,2022-10-29,2023-04-17,194,86168.32,88859.8,872662.93,4199
141,1,Utilize Innovative Technologies,Karakalpakstan,Completed,2022-12-08,2023-09-07,252,157422.27,125603.01,400503.68,4068
142,3,Deploy Granular Platforms,Bishkek,Ongoing,2025-03-07,,75,53490.4,79763.37,,2400
143,7,Redefine Clicks-And-Mortar Vortals,Bishkek,Completed,2020-06-29,2020-09-09,77,133087.27,84245.74,342548.77,2067
144,2,Strategize End-To-End Markets,Andijan,Completed,2020-12-21,2021-02-03,45,162133.47,188610.72,221711.74,1216
145,5,Whiteboard Front-End E-Markets,Sirdarya,Ongoing,2024-09-07,,111,109614.92,118225.93,,2036
146,6,Embrace 24/7 Supply-Chains,Fergana,Completed,2023-10-21,2024-02-20,121,180351.88,234759.93,313778.94,3312
147,8,Grow Plug-And-Play Paradigms,Nukus,Completed,2024-07-07,2024-11-05,118,61886.07,69946.44,110118.37,2621
148,8,Deploy World-Class Functionalities,Samarkand,Completed,2022-09-17,2022-11-29,69,173391.23,228057.58,325700.17,1503
149,8,Generate Synergistic Relationships,Fergana,Completed,2024-01-16,2025-01-07,304,68696.53,86082.86,19548.76,5931
150,5,Iterate Efficient Functionalities,Ashgabat,Completed,2021-07-28,2021-10-09,65,86245.19,100007.12,74204.76,1217
151,2,Innovate Impactful Schemas,Almaty,Completed,2021-04-15,2021-06-03,53,144654.27,120767.03,91825.27,1114
152,5,Drive Revolutionary Info-Mediaries,Dushanbe,Completed,2022-07-07,2024-05-08,743,99660.7,114979.65,88561.51,18820
153,8,Exploit Frictionless Applications,Ashgabat,Completed,2024-03-30,2024-08-07,128,53077.01,74102.76,76727.04,3247
154,3,Transition Integrated Markets,Bukhara,Completed,2022-01-26,2023-09-16,565,55868.21,54744.45,147254.52,10297
155,7,Redefine Customized Portals,Qashqadaryo,Ongoing,2025-02-06,,245,51563.29,68890.3,,5889
156,5,Grow One-To-One Paradigms,Bishkek,Completed,2020-09-15,2020-12-21,86,117276.74,142380.92,303100.25,2830
157,7,Syndicate Interactive E-Business,Almaty,Completed,2024-09-22,2025-03-25,181,134313.52,144917.61,44939.27,4411
158,4,Incubate Proactive Channels,Sirdarya,Ongoing,2025-02-09,,123,103268.79,80522.38,,4027
159,1,Envisioneer One-To-One Supply-Chains,Qashqadaryo,Ongoing,2023-11-14,,364,136191.65,140263.24,,6230
160,7,Facilitate Compelling Supply-Chains,Sirdarya,Ongoing,2023-11-25,,171,81493.49,76716.01,,5749
161,3,Maximize Mission-Critical E-Markets,Bishkek,Ongoing,2025-01-25,,67,67742.12,92771.59,,2401
162,2,Repurpose Cross-Media Eyeballs,Almaty,Completed,2023-05-08,2023-08-30,96,83629.29,117879.95,32765.94,2615
163,1,Repurpose Intuitive Interfaces,Namangan,Planned,,,158,127048.43,,,3594
164,3,Utilize Cross-Platform Eyeballs,Bukhara,Ongoing,2025-01-24,,172,133722.05,123114.93,,3158
165,6,Matrix Virtual Interfaces,Sirdarya,Planned,,,344,128178.25,,,7995
166,7,Re-Intermediate Proactive Technologies,Qashqadaryo,Ongoing,2024-05-15,,171,53238.47,32494.11,,3713
167,8,Incubate Web-Enabled E-Markets,Ashgabat,Ongoing,2024-07-11,,84,88167.64,70442.84,,2221
168,4,Incentivize Front-End Supply-Chains,Bukhara,Completed,2023-12-13,2024-02-25,70,48148.58,35523.12,174196.12,1742
169,8,Embrace Strategic Eyeballs,Andijan,Completed,2020-12-22,2021-05-19,139,187729.43,169112.48,325319.8,2566
170,1,Target Best-Of-Breed Markets,Qashqadaryo,Planned,,,177,55609.57,,,4208
171,7,Monetize Out-Of-The-Box Systems,Andijan,Completed,2023-01-23,2023-05-04,103,114982.58,104995.06,615992.3,3139
172,4,Incubate Killer Initiatives,Bishkek,Completed,2020-07-27,2020-11-28,108,107748.62,106351.57,192950.11,1999
173,5,Unleash Ubiquitous E-Tailers,Tashkent,Completed,2021-04-13,2021-05-22,39,72828.57,83709.84,62589.56,1032
174,2,Visualize Real-Time E-Business,Almaty,Completed,2024-12-08,2025-03-14,101,114568.5,163269.61,145754.02,2272
175,5,Empower Innovative Markets,Nukus,Planned,,,58,126842.25,,,1705
176,8,Benchmark Magnetic Deliverables,Fergana,Completed,2023-04-02,2023-05-17,48,119916.59,93745.03,176269.81,1532
177,5,Integrate Turn-Key Methodologies,Tashkent,Completed,2021-11-24,2022-10-31,325,139205.05,167455.39,383619.19,6849
178,5,Streamline Out-Of-The-Box Paradigms,Tashkent,Ongoing,2024-08-18,,345,104322.96,117508.19,,10858
179,1,Maximize Collaborative Web-Readiness,Bishkek,Ongoing,2024-04-26,,244,113311.76,158131.06,,5294
180,4,Iterate Clicks-And-Mortar Web-Readiness,Navoi,Planned,,,147,85603.93,,,4694
181,3,Disintermediate Dot-Com Web Services,Fergana,Completed,2020-05-09,2020-07-09,66,110262.5,134533.88,195361.77,1663
182,6,Drive 24/365 Initiatives,Namangan,Completed,2021-04-28,2021-08-21,121,122030.33,84801.99,138002.14,3079
183,3,Orchestrate Visionary Solutions,Ashgabat,Completed,2023-12-12,2024-07-23,202,114377.91,127461.17,294893.66,3475
184,3,Streamline Compelling Supply-Chains,Karakalpakstan,Completed,2024-08-13,2024-11-24,101,102227.97,124979.18,400804.55,3397
185,5,Streamline Clicks-And-Mortar Channels,Qashqadaryo,Planned,,,41,50606.27,,,1453
186,4,Brand Mission-Critical Solutions,Sirdarya,Completed,2022-09-01,2023-01-29,172,108535.45,102268.44,662518.49,5858
187,6,Architect Leading-Edge Mindshare,Bukhara,Ongoing,2024-10-10,,112,84571.08,62796.79,,2847
188,5,Brand Customized Action-Items,Sirdarya,Completed,2020-04-23,2020-08-21,116,68264.76,89597.97,279516.56,2632
189,2,Grow Ubiquitous Infrastructures,Surkhandarya,Planned,,,251,118324.19,,,7461
190,4,Streamline World-Class Infrastructures,Bukhara,Completed,2022-09-19,2023-02-18,129,56570.67,50485.23,189348.71,2781
191,2,Synergize Web-Enabled E-Tailers,Namangan,Completed,2021-10-13,2022-01-19,90,62742.37,96192.17,147523.67,2580
192,4,Implement Compelling Portals,Ashgabat,Completed,2022-09-03,2023-02-03,128,107718.76,133250.9,243096.84,2921
193,7,Mesh Granular Metrics,Namangan,Completed,2022-03-11,2022-11-30,244,102906.4,135085.35,60713.99,4561
194,8,Whiteboard Magnetic Initiatives,Nukus,Ongoing,2023-07-26,,86,77124.93,115705.53,,2879
195,8,Engage Viral Eyeballs,Surkhandarya,Completed,2022-10-01,2022-12-13,67,96223.08,87526.29,351723.82,1775
196,6,Drive Impactful Interfaces,Samarkand,Completed,2022-01-23,2022-04-11,72,95879.44,176579.62,91543.29,2456
197,8,Engage B2C Infrastructures,Bukhara,Completed,2023-12-24,2024-10-07,323,66495.29,72662.52,59336.63,6103
198,4,Syndicate Real-Time Systems,Namangan,Completed,2022-03-02,2022-07-12,125,84662.21,154136.69,552824.49,2479
199,4,Enhance Viral Methodologies,Surkhandarya,Completed,2022-07-18,2022-12-06,124,163313.94,136710.82,252035.15,4305
200,3,Cultivate Efficient Deliverables,Namangan,Completed,2022-11-26,2023-03-09,89,94013.17,108925.83,250403.92,2469
201,2,Revolutionize Interactive Interfaces,Tashkent,Ongoing,2024-09-19,,213,117370.05,131322.72,,5956
202,1,Unleash Interactive Platforms,Andijan,Completed,2022-09-28,2023-01-12,95,98532.53,89262.49,209416.18,1704
203,2,Iterate 24/7 Deliverables,Bishkek,Completed,2024-11-02,2025-07-22,263,133108.18,125045.74,220135.27,4803
204,4,Maximize Ubiquitous Content,Samarkand,Completed,2022-10-24,2023-09-01,295,176609.51,157755.32,188929.08,5797
205,5,Innovate Killer Architectures,Almaty,Planned,,,105,77794.81,,,3440
206,7,Streamline Ubiquitous Technologies,Fergana,Completed,2020-05-30,2020-08-25,73,113850.5,105640.74,2448903.13,2124
207,2,Deliver Visionary E-Tailers,Bukhara,Planned,,,133,97853.06,,,2786
208,6,Transform Integrated E-Business,Sirdarya,Completed,2021-07-09,2021-12-01,163,88883.28,53278.84,307020.72,3242
209,2,Benchmark Virtual Synergies,Fergana,Completed,2021-12-03,2022-06-11,189,63345.01,41851.26,23172.59,5493
210,4,Visualize Bleeding-Edge Portals,Nukus,Ongoing,2025-02-11,,508,134232.24,139651.58,,12103
211,7,Seize Collaborative E-Tailers,Fergana,Completed,2023-02-22,2023-04-04,43,79929.73,100700.11,38579.48,950
212,8,Monetize Cross-Platform Experiences,Bukhara,Completed,2023-04-25,2024-01-26,294,122893.48,147120.71,141030.61,7815
213,6,Utilize Clicks-And-Mortar Metrics,Namangan,Completed,2023-12-08,2024-02-03,57,95107.42,40865.0,175332.97,939
214,2,Aggregate Sticky Eyeballs,Nukus,Completed,2023-09-29,2023-11-22,52,106935.28,143527.24,51989.11,1328
215,7,Enhance Plug-And-Play Partnerships,Samarkand,Ongoing,2024-08-06,,239,76280.56,50423.38,,6473
216,4,Visualize Efficient Communities,Namangan,Completed,2021-07-21,2021-09-26,69,99074.88,70848.68,117044.07,2463
217,6,Facilitate Efficient Partnerships,Fergana,Completed,2023-01-22,2023-08-31,249,151237.44,204936.79,483582.61,7070
218,1,Mesh Robust Systems,Karakalpakstan,Completed,2022-04-09,2023-02-07,269,109034.41,134004.65,123802.3,7015
219,6,Extend 24/365 Applications,Tashkent,Completed,2021-05-04,2021-11-04,165,94457.54,102848.52,125251.79,3889
220,1,Mesh Integrated Bandwidth,Bukhara,Completed,2020-06-27,2020-09-28,87,99132.2,49619.61,167647.35,1445
221,6,Benchmark User-Centric Supply-Chains,Jizzakh,Completed,2023-10-12,2024-04-18,190,131134.56,30308.26,89318.05,4092
222,2,Utilize Frictionless Roi,Samarkand,Ongoing,2024-11-13,,118,135377.15,106951.13,,3954
223,1,Exploit Integrated E-Markets,Bukhara,Ongoing,2023-08-31,,175,77813.77,92349.69,,3618
224,8,Redefine B2B Models,Almaty,Ongoing,2024-09-26,,87,101419.21,115743.68,,1569
225,2,Benchmark Integrated Schemas,Jizzakh,Completed,2022-02-21,2022-11-24,269,106549.89,123520.07,238154.33,5849
226,4,Engage Interactive E-Markets,Sirdarya,Completed,2023-01-05,2023-03-08,60,118973.12,103329.52,231797.25,1403
227,3,Evolve Front-End Roi,Karakalpakstan,Completed,2022-05-25,2023-01-08,248,89030.26,113007.97,182905.91,6025
228,3,Synthesize Impactful Technologies,Sirdarya,Completed,2023-11-13,2023-12-30,46,70445.21,92736.88,186176.0,917
229,6,Disintermediate Killer Networks,Bukhara,Completed,2022-04-23,2023-01-10,251,88765.05,63608.43,30163.31,7353
230,7,Re-Contextualize Collaborative Mindshare,Tashkent,Ongoing,2024-04-16,,70,153418.41,111491.26,,1604
231,7,Cultivate Bleeding-Edge Applications,Nukus,Completed,2021-05-23,2021-07-25,66,157233.76,220590.34,30986.37,1957
232,8,Transform Interactive Relationships,Navoi,Completed,2024-12-01,2025-04-01,102,37920.44,67774.55,19973.78,1848
233,4,Enable Killer E-Commerce,Nukus,Ongoing,2023-12-29,,49,132072.55,219232.26,,1019
234,6,Seize Bleeding-Edge Relationships,Surkhandarya,Completed,2022-02-11,2022-09-17,221,115685.3,118484.22,245611.16,4798
