MilestoneID,ProjectID,Name,PlannedCompletion,ActualCompletion,Status
57,12,Plumbing,2023-01-21,2023-02-04,Completed
58,12,Electrical,2023-05-08,,Completed
59,12,Finishing,2023-08-23,,Delayed
60,12,Foundation,2023-12-08,2023-12-05,Delayed
61,13,Foundation,2022-09-27,2022-10-11,Completed
62,13,Framing,2022-12-26,2022-12-28,Delayed
63,13,Plumbing,2023-03-26,2023-03-16,Delayed
64,13,Electrical,2023-06-24,2023-06-29,Completed
65,13,Finishing,2023-09-22,2023-10-12,On Track
66,13,Foundation,2023-12-21,2024-01-01,Delayed
67,14,Foundation,2020-04-21,2020-05-05,On Track
68,14,Framing,2021-06-10,,Delayed
69,15,Foundation,2024-11-04,2024-11-06,Completed
70,15,Framing,2025-05-12,2025-05-06,Delayed
71,15,Plumbing,2025-11-17,2025-11-18,On Track
72,16,Foundation,2024-09-26,2024-09-30,Delayed
73,16,Framing,2025-01-07,2024-12-31,On Track
74,16,Plumbing,2025-04-20,2025-04-23,Completed
75,16,Electrical,2025-08-01,2025-08-07,On Track
76,17,Foundation,2020-10-21,2020-10-22,Completed
77,17,Framing,2021-02-21,2021-03-02,Delayed
78,18,Foundation,2021-11-25,2021-11-24,On Track
79,18,Framing,2022-11-05,2022-11-18,On Track
80,19,Foundation,2024-03-08,2024-03-14,Delayed
81,19,Framing,2024-04-30,2024-04-25,Delayed
82,19,Plumbing,2024-06-22,2024-06-20,On Track
83,19,Electrical,2024-08-14,2024-08-09,Delayed
84,19,Finishing,2024-10-06,2024-10-05,On Track
85,19,Foundation,2024-11-28,2024-11-29,On Track
86,20,Foundation,2021-12-11,2021-12-21,Completed
87,20,Framing,2022-03-05,2022-03-01,On Track
88,20,Plumbing,2022-05-28,,Delayed
89,20,Electrical,2022-08-20,2022-08-20,Delayed
90,20,Finishing,2022-11-12,2022-11-27,Delayed
91,20,Foundation,2023-02-04,2023-02-04,Completed
92,20,Framing,2023-04-29,2023-05-08,Delayed
93,21,Foundation,2022-04-12,2022-05-02,Delayed
94,21,Framing,2022-05-27,2022-05-27,Delayed
95,21,Plumbing,2022-07-11,2022-07-31,Completed
96,21,Electrical,2022-08-25,2022-09-06,Completed
97,21,Finishing,2022-10-09,2022-10-24,Delayed
98,21,Foundation,2022-11-23,2022-11-21,Delayed
99,22,Foundation,2023-11-20,2023-11-13,On Track
100,22,Framing,2024-02-13,2024-02-21,On Track
101,22,Plumbing,2024-05-08,2024-05-19,On Track
102,22,Electrical,2024-08-01,2024-08-21,Completed
103,23,Foundation,2022-06-13,2022-06-17,Completed
104,23,Framing,2022-12-20,2022-12-12,Delayed
105,23,Plumbing,2023-06-28,2023-07-09,Completed
106,24,Foundation,2021-11-04,2021-11-01,On Track
107,24,Framing,2022-08-24,2022-09-05,Delayed
108,24,Plumbing,2023-06-13,2023-06-05,Completed
109,24,Electrical,2024-04-01,2024-04-06,Completed
110,25,Foundation,2023-03-26,2023-04-14,Completed
111,25,Framing,2023-09-23,2023-09-26,Delayed
112,25,Plumbing,2024-03-22,2024-04-03,Completed
113,25,Electrical,2024-09-19,2024-09-28,On Track
114,25,Finishing,2025-03-19,2025-03-12,Completed
115,25,Foundation,2025-09-16,2025-09-27,Completed
116,26,Foundation,2024-03-18,2024-03-09,Completed
117,26,Framing,2024-06-06,2024-06-17,Delayed
118,26,Plumbing,2024-08-25,2024-09-14,On Track
119,26,Electrical,2024-11-13,,On Track
120,26,Finishing,2025-02-01,2025-02-07,Completed
121,26,Foundation,2025-04-22,2025-04-30,On Track
122,27,Foundation,2020-05-22,2020-05-23,Completed
123,27,Framing,2020-12-23,2020-12-31,On Track
124,27,Plumbing,2021-07-26,2021-07-27,Delayed
125,27,Electrical,2022-02-26,2022-02-19,On Track
126,27,Finishing,2022-09-29,2022-09-22,Completed
127,28,Foundation,2023-08-23,2023-08-24,Delayed
128,28,Framing,2024-08-14,2024-08-29,Delayed
129,28,Plumbing,2025-08-06,2025-08-07,Delayed
130,29,Foundation,2024-11-19,2024-12-01,On Track
131,29,Framing,2025-04-05,,Completed
132,29,Plumbing,2025-08-20,,Delayed
133,29,Electrical,2026-01-04,2026-01-14,On Track
134,29,Finishing,2026-05-21,2026-06-09,On Track
135,29,Foundation,2026-10-05,2026-10-11,On Track
136,29,Framing,2027-02-19,2027-02-19,Delayed
137,30,Foundation,2025-02-04,2025-02-19,On Track
138,30,Framing,2025-04-11,2025-04-06,Delayed
139,30,Plumbing,2025-06-16,,Completed
140,31,Foundation,2023-11-04,2023-11-08,Delayed
141,31,Framing,2024-01-22,2024-01-12,On Track
142,31,Plumbing,2024-04-10,2024-04-08,On Track
143,32,Foundation,2022-04-23,2022-04-16,Completed
144,32,Framing,2022-08-13,2022-08-08,On Track
145,32,Plumbing,2022-12-03,2022-12-07,Completed
146,32,Electrical,2023-03-25,2023-04-11,Completed
147,32,Finishing,2023-07-15,2023-07-15,Completed
148,32,Foundation,2023-11-04,2023-11-06,Delayed
149,33,Foundation,2020-10-08,2020-10-25,On Track
150,33,Framing,2021-03-23,2021-04-08,Delayed
151,33,Plumbing,2021-09-05,2021-09-24,On Track
152,33,Electrical,2022-02-18,2022-03-01,On Track
153,34,Foundation,2020-04-17,2020-04-16,Delayed
154,34,Framing,2021-04-09,2021-04-21,Delayed
155,34,Plumbing,2022-04-01,2022-04-04,Completed
156,35,Foundation,2023-04-25,2023-04-28,Completed
157,35,Framing,2023-10-19,2023-10-26,Completed
158,35,Plumbing,2024-04-13,2024-05-02,Completed
159,35,Electrical,2024-10-07,2024-10-02,On Track
160,35,Finishing,2025-04-02,2025-03-28,Delayed
161,36,Foundation,2025-02-10,2025-02-01,On Track
162,36,Framing,2025-06-30,2025-07-05,Delayed
163,36,Plumbing,2025-11-17,2025-12-07,Completed
164,36,Electrical,2026-04-06,2026-04-11,Delayed
165,36,Finishing,2026-08-24,2026-08-27,Delayed
166,36,Foundation,2027-01-11,2027-01-16,Completed
167,37,Foundation,2023-04-30,2023-05-15,Delayed
168,37,Framing,2023-11-21,2023-11-12,Completed
169,38,Foundation,2024-01-31,2024-01-26,Completed
170,38,Framing,2024-08-13,2024-08-26,Delayed
171,38,Plumbing,2025-02-24,2025-03-03,Completed
172,38,Electrical,2025-09-07,2025-08-31,Completed
173,39,Foundation,2021-01-26,2021-02-02,On Track
174,39,Framing,2021-03-29,2021-04-12,Completed
175,39,Plumbing,2021-05-30,2021-05-26,On Track
176,39,Electrical,2021-07-31,2021-08-13,On Track
177,40,Foundation,2024-01-03,2024-01-20,Delayed
178,40,Framing,2024-04-17,2024-04-15,On Track
179,40,Plumbing,2024-07-31,2024-08-04,On Track
180,40,Electrical,2024-11-13,2024-11-27,On Track
181,41,Foundation,2021-05-26,2021-06-03,Completed
182,41,Framing,2021-07-10,2021-07-19,On Track
183,41,Plumbing,2021-08-24,2021-09-02,On Track
184,41,Electrical,2021-10-08,2021-10-24,On Track
185,41,Finishing,2021-11-22,2021-11-30,Delayed
186,41,Foundation,2022-01-06,2022-01-15,Delayed
187,41,Framing,2022-02-20,2022-03-04,Completed
188,42,Foundation,2020-09-11,2020-10-01,Completed
189,42,Framing,2021-05-20,,Delayed
190,42,Plumbing,2022-01-26,,Delayed
191,42,Electrical,2022-10-04,2022-10-21,Completed
192,43,Foundation,2022-08-18,2022-08-15,Delayed
193,43,Framing,2023-03-13,2023-03-29,Completed
194,43,Plumbing,2023-10-06,2023-10-08,Completed
195,44,Foundation,2022-06-17,2022-06-15,Delayed
196,44,Framing,2022-07-20,,On Track
197,44,Plumbing,2022-08-22,2022-08-24,Delayed
198,44,Electrical,2022-09-24,2022-10-06,Delayed
199,44,Finishing,2022-10-27,2022-10-31,Delayed
200,44,Foundation,2022-11-29,,Completed
201,44,Framing,2023-01-01,2022-12-24,Delayed
202,45,Foundation,2022-01-02,2022-01-13,On Track
203,45,Framing,2022-05-14,2022-05-29,On Track
204,45,Plumbing,2022-09-23,2022-10-13,On Track
205,45,Electrical,2023-02-02,2023-02-07,Delayed
206,45,Finishing,2023-06-14,2023-06-14,On Track
207,45,Foundation,2023-10-24,2023-11-01,Delayed
208,45,Framing,2024-03-04,2024-03-22,On Track
209,46,Foundation,2024-03-03,2024-02-25,Delayed
210,46,Framing,2024-09-06,2024-08-27,On Track
211,47,Foundation,2024-01-18,,Delayed
212,47,Framing,2024-04-20,2024-04-16,On Track
213,47,Plumbing,2024-07-22,2024-08-09,On Track
214,47,Electrical,2024-10-23,2024-11-09,Delayed
215,47,Finishing,2025-01-24,2025-01-16,Delayed
216,48,Foundation,2023-10-09,2023-10-10,Completed
217,48,Framing,2024-02-26,,Completed
218,49,Foundation,2023-03-03,2023-03-16,On Track
219,49,Framing,2023-05-29,2023-06-01,Completed
220,49,Plumbing,2023-08-24,,Delayed
221,49,Electrical,2023-11-19,2023-11-11,On Track
222,50,Foundation,2023-12-21,2024-01-01,On Track
223,50,Framing,2024-06-22,2024-07-04,On Track
224,50,Plumbing,2024-12-23,2025-01-09,On Track
225,50,Electrical,2025-06-25,,Delayed
226,50,Finishing,2025-12-26,2025-12-18,On Track
227,50,Foundation,2026-06-28,2026-06-21,Delayed
228,51,Foundation,2022-11-10,2022-11-12,On Track
229,51,Framing,2023-04-09,2023-04-19,On Track
230,51,Plumbing,2023-09-06,2023-08-29,On Track
231,52,Foundation,2023-11-25,2023-12-05,Delayed
232,52,Framing,2024-04-21,2024-05-04,Completed
233,52,Plumbing,2024-09-16,2024-09-10,Completed
234,52,Electrical,2025-02-11,2025-02-22,On Track
235,52,Finishing,2025-07-09,2025-07-01,On Track
236,52,Foundation,2025-12-04,2025-12-18,Completed
237,53,Foundation,2022-02-24,2022-02-25,Delayed
238,53,Framing,2022-05-31,2022-06-15,Delayed
239,53,Plumbing,2022-09-04,,Completed
240,53,Electrical,2022-12-09,2022-12-18,Completed
241,53,Finishing,2023-03-15,2023-03-14,Completed
242,54,Foundation,2024-08-06,2024-08-23,Delayed
243,54,Framing,2025-11-21,2025-11-17,Completed
244,55,Foundation,2022-06-30,2022-07-13,Completed
245,55,Framing,2023-07-08,2023-06-29,On Track
246,55,Plumbing,2024-07-15,2024-07-20,On Track
247,56,Foundation,2024-11-22,2024-12-02,Completed
248,56,Framing,2025-01-13,2025-01-31,Delayed
249,56,Plumbing,2025-03-06,2025-03-25,Delayed
250,56,Electrical,2025-04-27,2025-05-14,Delayed
251,56,Finishing,2025-06-18,2025-06-19,On Track
252,57,Foundation,2022-01-23,2022-02-12,On Track
253,57,Framing,2022-08-23,2022-08-13,On Track
254,57,Plumbing,2023-03-23,2023-03-21,On Track
255,57,Electrical,2023-10-21,2023-11-10,Completed
256,57,Finishing,2024-05-20,2024-05-19,Completed
257,58,Foundation,2024-10-18,2024-10-21,On Track
258,58,Framing,2025-03-24,2025-04-03,Completed
259,58,Plumbing,2025-08-28,2025-08-22,Delayed
260,58,Electrical,2026-02-01,2026-01-24,On Track
261,58,Finishing,2026-07-08,2026-07-23,Delayed
262,59,Foundation,2021-02-03,2021-02-11,Completed
263,59,Framing,2021-07-08,2021-07-19,Delayed
264,59,Plumbing,2021-12-10,2021-12-22,On Track
265,59,Electrical,2022-05-14,2022-05-05,Delayed
266,59,Finishing,2022-10-16,2022-10-09,Completed
267,60,Foundation,2024-06-19,2024-06-18,Completed
268,60,Framing,2025-08-25,2025-09-07,On Track
269,61,Foundation,2022-09-10,2022-09-04,On Track
270,61,Framing,2022-10-24,2022-10-29,Completed
271,61,Plumbing,2022-12-07,2022-12-13,Completed
272,61,Electrical,2023-01-20,2023-01-18,On Track
273,61,Finishing,2023-03-05,2023-03-18,Delayed
274,61,Foundation,2023-04-18,2023-05-01,On Track
275,61,Framing,2023-06-01,2023-06-01,Delayed
276,62,Foundation,2021-02-23,2021-02-15,Completed
277,62,Framing,2021-08-30,,Delayed
278,62,Plumbing,2022-03-06,2022-03-12,Delayed
279,62,Electrical,2022-09-10,2022-09-27,Delayed
280,62,Finishing,2023-03-17,2023-03-12,On Track
281,62,Foundation,2023-09-21,2023-10-09,Completed
282,63,Foundation,2022-12-17,2022-12-14,On Track
283,63,Framing,2024-01-29,2024-01-20,On Track
284,64,Foundation,2023-06-01,2023-05-23,Delayed
285,64,Framing,2023-10-11,2023-10-30,On Track
286,64,Plumbing,2024-02-20,2024-02-27,Completed
287,65,Foundation,2020-05-16,2020-05-26,Delayed
288,65,Framing,2020-10-17,2020-10-14,Completed
289,65,Plumbing,2021-03-20,2021-03-20,On Track
290,65,Electrical,2021-08-21,2021-08-29,Completed
291,65,Finishing,2022-01-22,2022-02-02,On Track
292,65,Foundation,2022-06-25,2022-06-22,On Track
293,65,Framing,2022-11-26,2022-12-16,Delayed
294,66,Foundation,2021-10-21,2021-11-04,Delayed
295,66,Framing,2022-07-06,2022-06-28,On Track
296,66,Plumbing,2023-03-21,2023-03-22,Completed
297,66,Electrical,2023-12-04,2023-12-19,Completed
298,67,Foundation,2024-06-29,2024-07-03,Delayed
299,67,Framing,2025-04-12,2025-04-26,Completed
300,67,Plumbing,2026-01-24,2026-02-11,On Track
301,68,Foundation,2021-09-11,2021-09-01,On Track
302,68,Framing,2022-02-08,2022-02-05,Completed
303,68,Plumbing,2022-07-08,2022-07-24,On Track
304,69,Foundation,2021-12-31,2021-12-21,Delayed
305,69,Framing,2022-04-24,2022-05-11,Delayed
306,69,Plumbing,2022-08-16,2022-08-09,On Track
307,69,Electrical,2022-12-08,2022-12-11,On Track
308,70,Foundation,2022-01-04,2022-01-16,On Track
309,70,Framing,2022-10-25,2022-11-13,Completed
310,70,Plumbing,2023-08-15,2023-08-18,Delayed
311,71,Foundation,2024-02-03,,On Track
312,71,Framing,2024-04-30,2024-05-06,Delayed
313,71,Plumbing,2024-07-26,2024-07-18,On Track
314,71,Electrical,2024-10-21,2024-10-24,On Track
315,71,Finishing,2025-01-16,2025-01-13,Delayed
316,72,Foundation,2022-02-17,2022-03-01,Delayed
317,72,Framing,2022-06-19,2022-06-19,On Track
318,72,Plumbing,2022-10-19,2022-10-11,On Track
319,72,Electrical,2023-02-18,2023-03-04,On Track
320,72,Finishing,2023-06-20,2023-06-14,Delayed
321,73,Foundation,2024-09-16,2024-09-16,Completed
322,73,Framing,2025-03-28,2025-03-29,On Track
323,73,Plumbing,2025-10-07,2025-10-11,Delayed
324,73,Electrical,2026-04-18,2026-05-05,On Track
325,73,Finishing,2026-10-28,2026-11-12,Completed
326,74,Foundation,2023-09-04,,Delayed
327,74,Framing,2023-12-03,,On Track
328,74,Plumbing,2024-03-02,2024-03-22,Completed
329,74,Electrical,2024-05-31,2024-05-22,Delayed
330,74,Finishing,2024-08-29,2024-09-14,On Track
331,74,Foundation,2024-11-27,2024-12-17,Delayed
332,74,Framing,2025-02-25,2025-03-04,On Track
333,75,Foundation,2023-10-03,2023-10-07,On Track
334,75,Framing,2024-02-27,,On Track
335,76,Foundation,2024-10-19,2024-10-15,Delayed
336,76,Framing,2025-09-28,2025-10-09,Completed
337,76,Plumbing,2026-09-07,2026-08-30,Delayed
338,77,Foundation,2021-01-06,2020-12-27,On Track
339,77,Framing,2021-04-27,2021-05-15,On Track
340,78,Foundation,2020-09-20,2020-10-08,Delayed
341,78,Framing,2021-12-03,,Delayed
342,79,Foundation,2021-04-28,2021-04-23,Delayed
343,79,Framing,2022-10-22,2022-11-07,Delayed
344,80,Foundation,2021-10-08,2021-10-10,On Track
345,80,Framing,2023-05-20,2023-05-21,On Track
346,81,Foundation,2021-05-27,2021-05-25,On Track
347,81,Framing,2021-08-25,2021-08-16,Completed
348,81,Plumbing,2021-11-23,2021-11-20,Delayed
349,81,Electrical,2022-02-21,2022-02-24,Delayed
350,82,Foundation,2023-07-16,2023-07-08,On Track
351,82,Framing,2024-12-29,2025-01-01,Completed
352,83,Foundation,2022-05-10,2022-05-20,Completed
353,83,Framing,2023-04-03,,Delayed
354,83,Plumbing,2024-02-25,2024-03-11,Delayed
355,84,Foundation,2021-09-04,2021-09-19,Completed
356,84,Framing,2021-11-10,2021-11-16,Delayed
357,84,Plumbing,2022-01-16,,Completed
358,84,Electrical,2022-03-24,,Delayed
359,84,Finishing,2022-05-30,2022-05-21,Delayed
360,84,Foundation,2022-08-05,2022-08-11,Completed
361,85,Foundation,2021-09-19,2021-09-14,Completed
362,85,Framing,2022-08-25,2022-08-22,Completed
363,85,Plumbing,2023-07-31,2023-07-22,On Track
364,86,Foundation,2023-05-11,2023-05-28,Delayed
365,86,Framing,2023-09-30,2023-10-01,On Track
366,86,Plumbing,2024-02-19,2024-02-14,Delayed
367,86,Electrical,2024-07-10,2024-07-25,Delayed
368,86,Finishing,2024-11-29,2024-12-18,Completed
369,86,Foundation,2025-04-20,2025-05-02,Completed
370,87,Foundation,2024-09-12,2024-09-06,On Track
371,87,Framing,2025-03-26,2025-04-11,Delayed
372,87,Plumbing,2025-10-07,2025-10-14,Delayed
373,87,Electrical,2026-04-20,,On Track
374,87,Finishing,2026-11-01,2026-11-10,Completed
375,87,Foundation,2027-05-15,,Completed
376,88,Foundation,2025-03-04,2025-03-19,Completed
377,88,Framing,2025-12-20,2025-12-15,Delayed
378,88,Plumbing,2026-10-07,,Completed
379,89,Foundation,2024-12-08,2024-12-27,On Track
380,89,Framing,2025-05-11,2025-05-28,Delayed
381,89,Plumbing,2025-10-12,,Completed
382,89,Electrical,2026-03-15,2026-04-04,Completed
383,89,Finishing,2026-08-16,2026-08-09,Delayed
384,89,Foundation,2027-01-17,2027-01-11,Completed
385,89,Framing,2027-06-20,2027-07-10,Completed
386,90,Foundation,2025-01-15,2025-01-25,Completed
387,90,Framing,2025-03-14,2025-04-03,Completed
388,90,Plumbing,2025-05-11,2025-05-26,Completed
389,90,Electrical,2025-07-08,2025-07-16,Delayed
390,90,Finishing,2025-09-04,2025-09-03,Delayed
391,91,Foundation,2024-04-02,2024-03-28,Completed
392,91,Framing,2024-12-24,2025-01-13,Completed
393,91,Plumbing,2025-09-16,2025-09-07,Delayed
394,92,Foundation,2024-02-19,2024-02-16,On Track
395,92,Framing,2024-04-21,2024-05-10,Delayed
396,92,Plumbing,2024-06-22,,Delayed
397,92,Electrical,2024-08-23,2024-08-23,On Track
398,92,Finishing,2024-10-24,2024-11-09,Completed
399,92,Foundation,2024-12-25,2025-01-07,Delayed
400,93,Foundation,2024-02-18,2024-02-16,Completed
401,93,Framing,2025-09-03,2025-08-26,On Track
402,94,Foundation,2024-06-20,,Delayed
403,94,Framing,2024-07-25,2024-08-07,On Track
404,94,Plumbing,2024-08-29,2024-09-16,Delayed
405,94,Electrical,2024-10-03,2024-10-04,On Track
406,94,Finishing,2024-11-07,2024-11-23,Completed
407,94,Foundation,2024-12-12,2024-12-22,On Track
408,94,Framing,2025-01-16,2025-01-11,On Track
409,95,Foundation,2024-01-21,2024-01-11,On Track
410,95,Framing,2024-10-09,2024-10-01,Delayed
411,95,Plumbing,2025-06-28,2025-06-23,Completed
412,95,Electrical,2026-03-17,2026-04-06,On Track
413,96,Foundation,2023-07-07,2023-07-16,Delayed
414,96,Framing,2024-02-07,,Completed
415,96,Plumbing,2024-09-09,2024-09-04,Delayed
416,96,Electrical,2025-04-12,,Delayed
417,97,Foundation,2023-10-05,2023-10-01,Completed
418,97,Framing,2024-01-16,2024-01-29,Completed
419,97,Plumbing,2024-04-28,2024-04-26,Delayed
420,98,Foundation,2022-03-15,,Completed
421,98,Framing,2022-11-24,2022-12-01,On Track
422,98,Plumbing,2023-08-05,2023-07-27,Delayed
423,99,Foundation,2022-04-18,2022-04-17,Completed
424,99,Framing,2022-11-01,2022-11-10,On Track
425,100,Foundation,2023-11-18,2023-11-14,Delayed
426,100,Framing,2024-09-29,2024-09-21,On Track
427,101,Foundation,2024-02-24,2024-03-10,Delayed
428,101,Framing,2024-04-30,2024-05-18,On Track
429,101,Plumbing,2024-07-05,2024-07-15,On Track
430,101,Electrical,2024-09-09,2024-09-10,Delayed
431,102,Foundation,2024-08-27,,Delayed
432,102,Framing,2025-06-12,2025-06-16,Delayed
433,102,Plumbing,2026-03-28,,Completed
434,103,Foundation,2024-09-08,,Delayed
435,103,Framing,2024-10-10,2024-10-25,Completed
436,103,Plumbing,2024-11-11,2024-11-08,Delayed
437,103,Electrical,2024-12-13,2024-12-29,Completed
438,103,Finishing,2025-01-14,2025-01-25,Delayed
439,103,Foundation,2025-02-15,2025-02-23,Delayed
440,103,Framing,2025-03-19,,Completed
441,104,Foundation,2023-09-07,2023-09-13,Completed
442,104,Framing,2024-07-05,2024-07-20,Completed
443,105,Foundation,2023-10-13,2023-10-06,Delayed
444,105,Framing,2024-04-26,2024-04-21,On Track
445,105,Plumbing,2024-11-08,2024-11-04,On Track
446,106,Foundation,2023-08-15,,Completed
447,106,Framing,2024-03-04,2024-03-07,Completed
448,107,Foundation,2021-04-03,2021-04-19,Delayed
449,107,Framing,2021-08-26,2021-09-14,On Track
450,107,Plumbing,2022-01-18,2022-01-10,Delayed
451,108,Foundation,2021-05-16,2021-05-16,Completed
452,108,Framing,2021-10-29,2021-11-02,On Track
453,108,Plumbing,2022-04-13,2022-04-28,Completed
454,108,Electrical,2022-09-26,2022-10-02,On Track
455,108,Finishing,2023-03-11,2023-03-14,Completed
456,108,Foundation,2023-08-24,2023-09-01,On Track
457,109,Foundation,2022-02-18,2022-02-26,Delayed
458,109,Framing,2023-07-10,2023-07-27,Delayed
459,110,Foundation,2021-09-30,2021-09-28,Delayed
460,110,Framing,2022-05-07,2022-05-15,On Track
461,110,Plumbing,2022-12-12,2022-12-07,On Track
462,110,Electrical,2023-07-19,2023-07-28,Completed
463,110,Finishing,2024-02-23,,Delayed
464,111,Foundation,2024-06-23,,Delayed
465,111,Framing,2024-11-05,2024-11-24,Delayed
466,111,Plumbing,2025-03-20,2025-03-10,Delayed
467,111,Electrical,2025-08-02,2025-08-01,Delayed
468,111,Finishing,2025-12-15,2026-01-01,On Track
469,111,Foundation,2026-04-29,2026-05-16,Delayed
470,111,Framing,2026-09-11,2026-09-24,Delayed
471,112,Foundation,2025-03-23,2025-04-05,Completed
472,112,Framing,2025-10-14,2025-10-06,On Track
473,112,Plumbing,2026-05-07,2026-05-26,Completed
474,112,Electrical,2026-11-28,2026-12-03,Delayed
475,113,Foundation,2022-12-14,2022-12-20,On Track
476,113,Framing,2023-08-07,2023-08-06,Delayed
477,114,Foundation,2024-03-09,2024-03-23,Completed
478,114,Framing,2024-06-04,2024-05-25,On Track
479,114,Plumbing,2024-08-30,,On Track
480,115,Foundation,2024-03-22,2024-03-13,Completed
481,115,Framing,2024-05-28,2024-05-24,Delayed
482,115,Plumbing,2024-08-03,2024-08-09,On Track
483,115,Electrical,2024-10-09,,Delayed
484,115,Finishing,2024-12-15,2024-12-20,On Track
485,116,Foundation,2025-03-10,2025-03-18,Delayed
486,116,Framing,2025-06-21,2025-06-16,Delayed
487,116,Plumbing,2025-10-02,2025-10-15,On Track
488,116,Electrical,2026-01-13,,On Track
489,116,Finishing,2026-04-26,2026-04-21,On Track
490,117,Foundation,2023-04-18,2023-04-28,On Track
491,117,Framing,2024-03-27,2024-03-25,Completed
492,117,Plumbing,2025-03-06,2025-02-24,Completed
493,118,Foundation,2023-06-06,2023-06-11,Completed
494,118,Framing,2023-09-07,2023-09-02,On Track
495,119,Foundation,2024-04-16,2024-04-14,Delayed
496,119,Framing,2024-12-15,2024-12-27,Completed
497,119,Plumbing,2025-08-15,2025-08-13,Delayed
498,120,Foundation,2022-12-27,2022-12-31,Delayed
499,120,Framing,2023-04-20,2023-04-19,Completed
500,120,Plumbing,2023-08-12,2023-08-14,On Track
501,120,Electrical,2023-12-04,2023-12-10,Delayed
502,121,Foundation,2024-06-18,2024-06-28,Delayed
503,121,Framing,2024-11-09,2024-11-08,Delayed
504,121,Plumbing,2025-04-02,2025-03-25,Delayed
505,121,Electrical,2025-08-24,2025-09-03,Delayed
506,121,Finishing,2026-01-15,2026-01-13,Completed
507,121,Foundation,2026-06-08,2026-06-07,Completed
508,122,Foundation,2022-08-29,,Completed
509,122,Framing,2023-09-06,2023-09-08,Completed
510,122,Plumbing,2024-09-13,2024-09-07,Completed
511,123,Foundation,2025-02-01,2025-01-31,Delayed
512,123,Framing,2025-07-02,2025-07-04,On Track
513,123,Plumbing,2025-11-30,2025-12-08,Completed
514,123,Electrical,2026-04-30,2026-05-16,Completed
515,123,Finishing,2026-09-28,2026-10-10,Completed
516,124,Foundation,2023-02-05,2023-02-20,Completed
517,124,Framing,2023-07-07,2023-07-08,On Track
518,124,Plumbing,2023-12-06,2023-12-22,Completed
519,124,Electrical,2024-05-06,2024-05-01,Delayed
520,124,Finishing,2024-10-05,2024-09-29,Completed
521,124,Foundation,2025-03-06,2025-03-21,On Track
